,texto,polaridad
713,Si estás leyendo esto por favor no vayas allí.,negativo
887,"Después de 20 minutos de espera, tengo una mesa.",negativo
330,Los servidores no son agradables de tratar y no siempre cumplen con los cupones de Pizza Hut.,negativo
606,"En general, recomendaría este teléfono sobre el nuevo Walkman.",positivo
533,agrega betty white y jean smart y tendrás un gran elenco: todos interpretaron muy bien sus papeles.,positivo
585,No recomendado.,negativo
277,No estoy seguro de lo que estaba tratando de hacer con esta película.,negativo
111,Este teléfono es delgado y ligero y la pantalla es hermosa.,positivo
161,"Si vas a ver esta película, trae una almohada o una novia / novio para mantenerte ocupado.",negativo
1,"No estoy seguro de quién estaba más perdido: los personajes planos o el público, casi la mitad de los cuales se fueron.",negativo
818,"Siguió empeorando y empeorando, así que ahora ya he terminado oficialmente.",negativo
602,Vi esta película y pensé que esta es una película estúpida.,negativo
519,"Señala con el dedo cualquier elemento del menú, ordénalo y no te decepcionará.",positivo
699,"De todos modos, la comida definitivamente no estaba llena, y por el precio que pagas debes esperar más.",negativo
478,Teníamos un grupo de más de 70 años cuando afirmamos que solo tendríamos 40 y nos manejaron muy bien.,positivo
33,Me quedan dos años más en este contrato y odio este teléfono.,negativo
821,Conclusión - me encantó.,positivo
743,"El personaje de Tom Wilkinson es un hombre que no está preparado para la dura prueba que está a punto de comenzar, pero toma el asunto en la mano a medida que avanza la historia, y este gran actor ofrece una actuación que te hace sentir la angustia y el sufrimiento del personaje.",positivo
647,"Cuanto menos se diga sobre la actuación, mejor.",negativo
273,Realmente haces este viaje a través de los ojos y el alma de un niño.,positivo
603,Lo que es aún más estúpido es que ¿quién había pensado en una idea de que debería haber un volcán en Los Ángeles?,negativo
766,Uno de los pocos lugares en Phoenix a los que sin duda volvería de nuevo.,positivo
106,"Ese es un gran defecto de diseño (a menos que no lo esté usando correctamente, lo cual no creo que sea el caso).",negativo
632,"La misma noche, él y yo estamos drásticamente enfermos.",negativo
250,Los propietarios son realmente grandes personas.,positivo
796,"Las patatas fritas y la salsa eran muy buenas, la salsa era muy fresca.",positivo
257,Fue tan gracioso.,positivo
903,"Y las bebidas son débiles, gente!",negativo
299,La comida era excelente y el servicio era muy bueno.,positivo
294,No sabía que el cerdo tirado podría ser tan delicioso.,positivo
456,Esta película (y yo uso esa palabra a la ligera) es un insulto para el público que va al cine.,negativo
804,"Estaban dorados, crujientes y deliciosos.",positivo
449,"No diré nada más, no me gustan los spoilers, así que no quiero ser uno, pero creo que esta película vale la pena.",positivo
72,¡Gran elección!,positivo
463,Pero la premisa de la película fue tan ridícula: que el presidente de los EE.UU.,negativo
